pl_name,pl_rade,pl_bmasse,pl_orbper,st_teff
"Kepler-487 c",2.62000000,,38.65199760000,5700.00
"Kepler-1032 b",1.49000000,,3.29011407600,4484.00
"Kepler-1352 b",0.84000000,,1.87787200000,6333.00
"Kepler-515 b",1.75000000,,19.96371318000,5780.00
"Kepler-357 c",2.67000000,,16.85837000000,5036.00
"Kepler-1178 b",0.73000000,,31.80634000000,4729.00
"Kepler-325 c",3.33000000,,12.76224947000,5749.00
"Kepler-775 b",1.19200000,,0.97486892600,5354.00
"EPIC 212424622 b",2.17000000,,18.09830000000,
"Kepler-341 c",1.70000000,,8.01041000000,6012.00
"Kepler-1202 b",2.40000000,,28.68513240000,5722.00
"Kepler-84 e",2.30000000,,27.43458830000,6028.00
"Kepler-29 c",3.14000000,4.00000000,13.28840000000,5701.00
"Kepler-1407 b",2.16000000,,20.07115040000,6086.00
"Kepler-265 b",1.67000000,,6.84619236000,5839.00
"Kepler-370 c",1.91000000,,19.02315200000,5845.00
"Kepler-1342 b",1.66000000,,2.21571035800,5527.00
"Kepler-343 b",1.79000000,,8.96848108000,6122.00
"Kepler-281 c",4.90000000,,36.33767000000,5675.00
"Kepler-393 b",1.51000000,,9.18247194000,6735.00
"Kepler-84 b",3.03000000,,8.72585936000,6039.00
"Kepler-394 d",1.50000000,,5.61357629000,6426.00
"Kepler-237 b",1.50000000,,4.71510365000,4861.00
"Kepler-1608 b",1.63000000,,16.47347400000,5364.00
"Kepler-52 d",1.95000000,,36.44517100000,4263.00
"Kepler-321 c",2.32000000,,13.09392100000,5740.00
"Kepler-780 b",0.89000000,,0.67737516400,5769.00
"Kepler-204 c",1.78000000,,25.66138160000,5815.00
"Kepler-1164 b",1.22000000,,3.97599768000,5211.00
"Kepler-666 b",2.21000000,,4.49876092000,6075.00
"Kepler-161 b",2.29000000,,4.92135468100,5147.00
"K2-205 b",2.20900000,,26.68200000000,
"K2-224 c",2.50540750,,10.09607000000,
"KOI-351 g",6.86000000,,210.60311050000,6238.00
"Kepler-179 b",1.80000000,,2.73590337500,5475.00
"KOI-351 c",1.44500000,,8.71982853000,
"Kepler-816 b",10.24000000,,10.50682564600,5286.00
"Kepler-1715 b",3.79800000,,35.59713982000,6237.00
"Kepler-79 e",3.00000000,,81.06320000000,6405.00
